"","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
"679",23,"student","single","secondary","no",4126,"no","no","cellular",25,"mar",96,2,-1,0,"unknown","1"
"680",53,"technician","single","secondary","no",530,"no","yes","telephone",18,"jul",744,4,-1,0,"unknown","0"
"681",69,"retired","married","secondary","no",0,"no","no","cellular",28,"apr",184,2,126,2,"other","1"
"682",35,"management","single","tertiary","no",68,"no","no","unknown",6,"jun",1085,1,-1,0,"unknown","1"
"683",35,"technician","single","secondary","no",399,"yes","no","cellular",13,"may",496,2,345,3,"failure","1"
"684",45,"technician","married","secondary","no",34,"no","no","telephone",27,"aug",96,7,-1,0,"unknown","0"
"685",56,"services","single","secondary","no",-40,"yes","no","cellular",15,"may",311,1,368,2,"failure","1"
"686",60,"management","married","tertiary","no",13546,"no","no","cellular",17,"apr",452,3,-1,0,"unknown","1"
"687",57,"services","married","secondary","no",0,"yes","no","cellular",14,"may",16,9,282,3,"other","0"
"688",35,"management","single","secondary","no",0,"yes","no","cellular",6,"may",495,1,-1,0,"unknown","0"
"689",49,"blue-collar","married","primary","no",-232,"no","yes","cellular",11,"aug",106,2,-1,0,"unknown","0"
"690",44,"admin.","single","secondary","no",733,"yes","no","cellular",4,"dec",360,2,105,5,"success","1"
"691",38,"entrepreneur","married","tertiary","no",1110,"yes","no","cellular",20,"nov",888,2,183,2,"failure","1"
"692",30,"blue-collar","married","secondary","no",322,"yes","no","cellular",20,"apr",190,2,326,1,"other","0"
"693",48,"management","married","secondary","no",0,"no","no","cellular",19,"nov",20,4,-1,0,"unknown","0"
"694",36,"blue-collar","single","secondary","no",366,"yes","yes","unknown",30,"may",1133,2,-1,0,"unknown","1"
"695",34,"technician","married","tertiary","no",2069,"no","no","cellular",20,"aug",328,2,-1,0,"unknown","0"
"696",51,"blue-collar","married","secondary","no",19,"no","no","cellular",15,"jun",292,1,-1,0,"unknown","0"
"697",37,"management","married","tertiary","yes",0,"no","no","cellular",17,"nov",44,1,123,2,"failure","0"
"698",38,"admin.","married","tertiary","no",4399,"yes","no","unknown",20,"may",638,2,-1,0,"unknown","0"
"699",28,"technician","married","secondary","no",7449,"yes","no","cellular",7,"may",193,1,-1,0,"unknown","0"
"700",33,"student","single","unknown","no",2321,"no","no","cellular",15,"apr",699,2,381,2,"failure","0"
"701",42,"blue-collar","married","secondary","no",171,"yes","no","unknown",14,"may",55,1,-1,0,"unknown","0"
"702",49,"technician","married","secondary","no",-205,"yes","yes","cellular",14,"may",6,6,309,1,"failure","0"
"703",31,"management","single","tertiary","no",6248,"yes","no","unknown",9,"may",154,2,-1,0,"unknown","0"
"704",26,"admin.","single","tertiary","no",2532,"yes","yes","cellular",18,"feb",269,1,-1,0,"unknown","1"
"705",40,"admin.","married","secondary","no",1535,"yes","no","unknown",14,"may",704,1,-1,0,"unknown","1"
"706",39,"management","married","tertiary","no",494,"no","no","cellular",10,"mar",106,2,478,3,"failure","1"
"707",30,"technician","single","secondary","no",4888,"yes","no","cellular",20,"nov",274,2,-1,0,"unknown","0"
"708",43,"blue-collar","married","primary","no",-25,"yes","no","cellular",12,"may",254,4,365,2,"failure","0"
"709",58,"blue-collar","married","secondary","no",3027,"yes","no","cellular",24,"apr",160,1,-1,0,"unknown","1"
"710",31,"management","married","tertiary","no",1032,"no","no","cellular",7,"jul",284,1,-1,0,"unknown","1"
"711",59,"technician","married","tertiary","no",4445,"no","no","unknown",11,"jun",96,7,-1,0,"unknown","0"
"712",67,"retired","married","primary","no",708,"no","no","cellular",11,"sep",96,2,-1,0,"unknown","0"
"713",59,"retired","married","secondary","no",374,"no","no","cellular",29,"aug",272,2,-1,0,"unknown","0"
"714",43,"technician","married","secondary","no",236,"no","no","unknown",17,"jun",169,4,-1,0,"unknown","0"
"715",37,"management","married","tertiary","no",981,"no","no","cellular",22,"aug",135,2,-1,0,"unknown","0"
"716",32,"blue-collar","single","secondary","no",1143,"yes","yes","cellular",6,"may",132,1,300,1,"failure","0"
"717",27,"blue-collar","single","secondary","no",677,"no","yes","telephone",31,"jul",110,8,-1,0,"unknown","0"
"718",40,"blue-collar","divorced","primary","no",4168,"yes","no","cellular",29,"jan",91,1,223,3,"failure","0"
"719",32,"technician","married","secondary","no",-300,"no","no","cellular",28,"aug",226,9,-1,0,"unknown","0"
"720",26,"technician","single","secondary","no",261,"yes","no","unknown",27,"may",371,2,-1,0,"unknown","0"
"721",56,"management","married","tertiary","no",664,"no","yes","cellular",18,"nov",71,1,-1,0,"unknown","0"
"722",26,"blue-collar","single","secondary","no",3145,"no","no","cellular",28,"dec",1141,1,209,1,"other","1"
"723",45,"blue-collar","single","secondary","yes",0,"yes","no","cellular",14,"may",17,7,287,13,"other","0"
"724",44,"admin.","divorced","primary","no",429,"yes","no","telephone",23,"oct",80,1,-1,0,"unknown","1"
"725",43,"services","married","secondary","no",2478,"yes","no","cellular",28,"jan",347,1,230,1,"failure","0"
"726",32,"management","single","tertiary","no",566,"no","no","cellular",30,"apr",114,2,-1,0,"unknown","0"
"727",55,"blue-collar","divorced","secondary","no",4053,"no","no","cellular",19,"nov",113,1,166,2,"failure","0"
"728",24,"blue-collar","married","secondary","no",9,"yes","no","unknown",27,"may",292,7,-1,0,"unknown","0"
"729",50,"technician","single","tertiary","no",2,"no","no","unknown",10,"jun",2389,1,-1,0,"unknown","0"
"730",33,"management","single","tertiary","no",153,"yes","no","cellular",2,"feb",405,1,-1,0,"unknown","0"
"731",47,"admin.","married","secondary","no",3676,"no","no","cellular",18,"oct",567,1,95,3,"success","1"
"732",45,"unknown","married","unknown","no",4413,"no","no","telephone",29,"jul",77,35,-1,0,"unknown","0"
"733",52,"technician","married","secondary","no",-35,"no","yes","cellular",28,"jan",165,1,-1,0,"unknown","0"
"734",32,"management","married","tertiary","no",1331,"no","no","cellular",12,"nov",126,1,92,5,"failure","1"
"735",31,"admin.","single","secondary","no",3950,"yes","no","cellular",21,"nov",529,1,-1,0,"unknown","1"
"736",48,"management","divorced","tertiary","no",503,"no","yes","unknown",12,"jun",1243,7,-1,0,"unknown","1"
"737",44,"services","married","secondary","no",522,"no","yes","unknown",20,"jun",911,1,-1,0,"unknown","1"
"738",34,"blue-collar","married","secondary","no",398,"yes","no","cellular",3,"jun",161,2,-1,0,"unknown","0"
"739",33,"technician","married","tertiary","no",6843,"no","no","cellular",20,"nov",755,1,100,10,"other","1"
"740",53,"blue-collar","married","secondary","no",70,"yes","no","unknown",5,"may",611,2,-1,0,"unknown","0"
"741",30,"entrepreneur","single","tertiary","no",-63,"yes","no","unknown",3,"jun",94,1,-1,0,"unknown","0"
"742",57,"admin.","married","secondary","no",999,"no","no","cellular",4,"aug",68,1,-1,0,"unknown","0"
"743",22,"student","single","secondary","no",2488,"no","no","cellular",8,"nov",449,2,38,10,"other","1"
"744",32,"management","married","tertiary","no",2213,"no","no","cellular",29,"jan",125,2,154,7,"failure","0"
"745",56,"self-employed","married","secondary","no",14,"no","no","cellular",16,"jul",239,1,-1,0,"unknown","0"
"746",30,"blue-collar","married","primary","no",1023,"yes","no","unknown",21,"may",168,3,-1,0,"unknown","0"
"747",61,"retired","married","tertiary","no",1257,"no","no","cellular",10,"feb",503,1,-1,0,"unknown","1"
"748",23,"student","single","secondary","no",431,"no","no","cellular",15,"feb",201,3,186,2,"success","1"
"749",55,"admin.","married","secondary","no",602,"no","no","cellular",7,"sep",350,1,98,5,"success","1"
"750",20,"student","single","primary","no",134,"no","no","cellular",12,"jul",273,1,277,3,"other","0"
"751",27,"admin.","single","secondary","no",105,"yes","no","cellular",18,"may",179,1,-1,0,"unknown","0"
"752",54,"housemaid","married","primary","no",194,"no","no","cellular",20,"aug",127,2,-1,0,"unknown","0"
"753",40,"housemaid","single","primary","no",109,"yes","no","cellular",8,"may",308,1,367,3,"failure","0"
"754",45,"technician","married","tertiary","no",1780,"no","no","cellular",11,"aug",52,4,-1,0,"unknown","0"
"755",25,"student","married","tertiary","no",10,"yes","no","cellular",21,"jul",857,4,-1,0,"unknown","1"
"756",48,"services","divorced","secondary","no",0,"yes","yes","unknown",15,"may",263,1,-1,0,"unknown","0"
"757",26,"unemployed","single","secondary","no",111,"no","no","cellular",9,"jul",537,1,-1,0,"unknown","1"
"758",45,"technician","married","secondary","no",2776,"yes","no","cellular",27,"jul",287,2,181,1,"success","1"
"759",51,"services","married","secondary","no",-238,"yes","no","cellular",24,"jul",63,1,-1,0,"unknown","0"
"760",57,"self-employed","married","secondary","no",380,"no","no","cellular",18,"nov",878,2,-1,0,"unknown","0"
"761",33,"services","single","secondary","no",100,"yes","no","cellular",14,"may",11,8,297,7,"other","0"
"762",35,"management","single","secondary","no",5260,"yes","no","cellular",18,"nov",59,1,182,2,"failure","0"
"763",31,"management","single","tertiary","no",130,"no","no","cellular",6,"aug",160,1,-1,0,"unknown","0"
"764",45,"management","married","tertiary","no",753,"yes","no","cellular",2,"apr",2870,2,-1,0,"unknown","0"
"765",32,"blue-collar","married","primary","no",187,"no","no","cellular",20,"nov",485,1,134,1,"failure","0"
"766",56,"blue-collar","married","primary","no",115,"no","no","telephone",4,"feb",111,1,-1,0,"unknown","0"
"767",30,"blue-collar","married","secondary","no",62,"no","no","cellular",21,"jul",241,3,-1,0,"unknown","0"
"768",30,"technician","married","secondary","no",6843,"no","no","cellular",12,"aug",227,1,-1,0,"unknown","0"
"769",35,"services","married","secondary","no",302,"yes","no","cellular",6,"may",137,1,364,1,"failure","0"
"770",58,"unknown","married","unknown","no",68,"no","no","cellular",2,"apr",268,1,-1,0,"unknown","1"
"771",59,"entrepreneur","married","tertiary","no",705,"yes","no","unknown",20,"may",446,2,-1,0,"unknown","0"
"772",48,"technician","divorced","tertiary","no",375,"no","no","cellular",20,"aug",212,2,-1,0,"unknown","0"
"773",50,"self-employed","married","tertiary","no",0,"no","no","cellular",21,"nov",37,2,-1,0,"unknown","0"
"774",41,"management","married","tertiary","no",11103,"yes","no","telephone",7,"may",55,1,-1,0,"unknown","0"
"775",36,"admin.","single","secondary","no",728,"no","no","cellular",30,"apr",230,1,-1,0,"unknown","1"
"776",54,"unemployed","single","secondary","no",380,"no","no","cellular",17,"nov",696,2,-1,0,"unknown","1"
"777",43,"admin.","single","secondary","no",1707,"yes","no","cellular",6,"sep",369,3,504,5,"other","1"
"778",33,"technician","married","secondary","no",303,"yes","no","cellular",3,"feb",355,1,301,5,"success","1"
"779",40,"admin.","divorced","secondary","no",952,"yes","no","cellular",15,"may",126,2,333,1,"failure","0"
"780",42,"admin.","single","secondary","no",61,"yes","no","unknown",23,"may",65,1,-1,0,"unknown","0"
"781",31,"technician","married","secondary","no",6890,"yes","no","unknown",12,"may",34,1,-1,0,"unknown","0"
"782",39,"blue-collar","married","primary","no",186,"yes","no","unknown",16,"may",208,3,-1,0,"unknown","0"
"783",52,"technician","married","secondary","no",117,"no","no","cellular",26,"feb",959,3,186,6,"success","1"
"784",44,"technician","married","secondary","no",5163,"no","no","cellular",11,"aug",48,2,-1,0,"unknown","0"
"785",35,"self-employed","married","secondary","no",524,"yes","no","cellular",21,"nov",484,4,-1,0,"unknown","0"
"786",55,"blue-collar","married","secondary","no",12401,"no","no","telephone",5,"nov",111,9,511,4,"other","0"
"787",47,"entrepreneur","married","secondary","no",2192,"yes","no","cellular",17,"nov",134,1,-1,0,"unknown","0"
"788",51,"blue-collar","married","secondary","no",1374,"yes","no","unknown",30,"may",378,1,-1,0,"unknown","0"
"789",45,"self-employed","married","secondary","no",1051,"no","no","cellular",4,"aug",96,1,-1,0,"unknown","0"
"790",31,"student","single","secondary","no",3511,"no","no","cellular",6,"oct",311,1,96,1,"success","1"
"791",31,"technician","married","secondary","no",1230,"no","no","cellular",21,"nov",7,4,-1,0,"unknown","0"
"792",38,"entrepreneur","married","primary","no",21,"yes","no","cellular",25,"jul",65,4,-1,0,"unknown","0"
"793",37,"admin.","married","secondary","no",1345,"yes","no","unknown",3,"jun",59,2,-1,0,"unknown","0"
"794",30,"blue-collar","married","secondary","no",246,"yes","no","cellular",17,"apr",191,1,150,7,"failure","0"
"795",31,"management","married","tertiary","no",451,"yes","no","cellular",5,"may",67,1,-1,0,"unknown","0"
"796",47,"housemaid","single","secondary","no",17023,"no","no","cellular",26,"may",379,2,97,4,"other","0"
"797",45,"blue-collar","married","secondary","no",90,"yes","no","unknown",29,"may",744,6,-1,0,"unknown","0"
"798",22,"housemaid","single","secondary","no",1796,"no","no","cellular",28,"jun",369,3,-1,0,"unknown","1"
"799",39,"housemaid","married","secondary","no",-146,"yes","yes","cellular",20,"aug",239,2,-1,0,"unknown","0"
"800",54,"blue-collar","married","secondary","no",1480,"yes","no","unknown",14,"may",108,1,-1,0,"unknown","0"
"801",26,"technician","single","tertiary","no",4130,"no","no","cellular",28,"jan",104,2,-1,0,"unknown","0"
"802",32,"admin.","married","secondary","no",366,"no","no","cellular",14,"jan",366,2,-1,0,"unknown","1"
"803",33,"technician","single","tertiary","no",1805,"no","no","cellular",21,"aug",211,4,-1,0,"unknown","0"
"804",51,"management","married","tertiary","no",4,"yes","no","cellular",21,"nov",58,2,-1,0,"unknown","0"
"805",57,"management","divorced","tertiary","no",429,"yes","no","cellular",17,"jul",245,1,-1,0,"unknown","0"
"806",30,"technician","single","secondary","no",816,"yes","no","unknown",14,"nov",179,1,-1,0,"unknown","1"
"807",73,"retired","divorced","primary","no",5028,"no","no","cellular",4,"dec",696,10,-1,0,"unknown","1"
"808",35,"admin.","married","secondary","no",2897,"no","no","unknown",9,"jun",243,2,-1,0,"unknown","0"
"809",37,"entrepreneur","married","secondary","no",209,"yes","no","cellular",17,"apr",100,1,-1,0,"unknown","0"
"810",66,"retired","married","primary","no",711,"no","no","telephone",20,"apr",137,5,-1,0,"unknown","0"
"811",31,"services","single","secondary","no",91,"yes","no","cellular",18,"may",111,2,-1,0,"unknown","0"
"812",44,"blue-collar","married","secondary","no",88,"yes","no","cellular",2,"jul",275,1,-1,0,"unknown","1"
"813",36,"management","single","tertiary","no",900,"no","no","cellular",6,"aug",499,4,-1,0,"unknown","0"
"814",32,"technician","single","secondary","no",234,"no","no","cellular",27,"mar",166,2,-1,0,"unknown","0"
"815",23,"student","single","tertiary","no",113,"no","no","cellular",17,"nov",266,1,-1,0,"unknown","1"
"816",31,"unemployed","single","tertiary","no",498,"no","no","cellular",29,"jan",264,2,-1,0,"unknown","0"
"817",75,"retired","divorced","primary","no",1926,"no","no","cellular",9,"sep",761,1,93,5,"other","0"
"818",57,"technician","married","secondary","no",254,"no","no","cellular",27,"oct",207,1,-1,0,"unknown","1"
"819",29,"blue-collar","married","primary","no",-382,"yes","no","cellular",28,"jul",35,2,-1,0,"unknown","0"
"820",57,"unknown","divorced","unknown","no",4244,"no","no","unknown",18,"jun",626,5,-1,0,"unknown","0"
"821",33,"self-employed","married","tertiary","no",263,"no","no","cellular",16,"nov",79,4,94,3,"failure","0"
"822",49,"technician","married","secondary","no",905,"no","no","cellular",5,"jun",1543,1,-1,0,"unknown","1"
"823",56,"services","married","secondary","no",1989,"no","no","cellular",3,"aug",279,4,181,4,"success","1"
"824",32,"blue-collar","single","secondary","no",1342,"yes","no","unknown",23,"may",109,2,-1,0,"unknown","0"
"825",35,"management","single","tertiary","no",1635,"no","no","cellular",18,"aug",90,6,-1,0,"unknown","0"
"826",66,"unknown","divorced","unknown","no",1993,"yes","no","cellular",6,"jul",117,4,-1,0,"unknown","0"
"827",45,"blue-collar","married","secondary","no",827,"yes","no","unknown",15,"may",319,5,-1,0,"unknown","0"
"828",46,"management","divorced","unknown","no",2,"yes","no","unknown",6,"may",187,1,-1,0,"unknown","0"
"829",41,"technician","married","secondary","no",0,"yes","no","cellular",24,"jul",168,1,-1,0,"unknown","0"
"830",46,"admin.","married","secondary","no",556,"yes","yes","unknown",15,"may",646,3,-1,0,"unknown","1"
"831",45,"management","married","tertiary","no",0,"no","no","cellular",18,"nov",179,2,-1,0,"unknown","0"
"832",46,"services","married","primary","no",437,"yes","no","cellular",13,"may",546,3,-1,0,"unknown","1"
"833",59,"retired","divorced","tertiary","no",3444,"no","no","cellular",6,"feb",241,2,-1,0,"unknown","1"
"834",43,"technician","married","secondary","no",3285,"yes","no","unknown",13,"may",1721,2,-1,0,"unknown","1"
"835",44,"management","married","secondary","no",488,"no","yes","cellular",29,"jan",138,2,183,11,"failure","0"
"836",73,"retired","married","unknown","no",519,"no","no","telephone",26,"feb",270,3,133,2,"success","1"
"837",78,"retired","divorced","primary","no",527,"no","no","cellular",16,"sep",193,1,-1,0,"unknown","1"
"838",38,"self-employed","married","secondary","no",1029,"yes","no","cellular",4,"feb",206,3,223,1,"other","0"
"839",35,"admin.","married","tertiary","no",286,"no","no","cellular",30,"apr",949,2,-1,0,"unknown","1"
"840",37,"blue-collar","married","secondary","no",183,"yes","no","unknown",6,"may",112,4,-1,0,"unknown","0"
"841",58,"admin.","married","secondary","no",0,"no","no","cellular",27,"aug",503,13,-1,0,"unknown","0"
"842",30,"technician","married","secondary","no",3875,"yes","no","cellular",7,"may",131,1,338,2,"other","0"
"843",46,"technician","married","secondary","no",5681,"no","no","telephone",31,"jul",43,5,-1,0,"unknown","0"
"844",40,"technician","single","secondary","no",-239,"no","no","cellular",13,"aug",399,2,-1,0,"unknown","0"
"845",27,"admin.","single","secondary","no",261,"yes","yes","cellular",3,"jun",592,4,-1,0,"unknown","1"
"846",55,"technician","married","tertiary","no",1320,"no","no","cellular",28,"jul",340,1,91,2,"success","1"
"847",56,"self-employed","married","primary","no",-34,"yes","yes","unknown",5,"may",212,2,-1,0,"unknown","0"
"848",55,"retired","married","tertiary","no",8037,"no","no","cellular",3,"feb",114,2,-1,0,"unknown","0"
"849",80,"retired","married","primary","no",155,"no","no","telephone",9,"dec",343,2,-1,0,"unknown","1"
"850",48,"unknown","married","secondary","no",438,"no","no","cellular",28,"jan",412,5,-1,0,"unknown","0"
"851",60,"retired","married","unknown","no",209,"no","no","cellular",14,"aug",391,3,106,1,"failure","1"
"852",45,"admin.","married","secondary","no",1206,"no","no","telephone",8,"feb",309,1,446,3,"failure","1"
"853",43,"self-employed","married","tertiary","no",6424,"no","no","cellular",20,"nov",55,1,-1,0,"unknown","0"
"854",31,"admin.","married","secondary","no",5,"no","no","unknown",16,"may",102,1,-1,0,"unknown","0"
"855",34,"technician","married","secondary","no",806,"no","no","cellular",19,"jul",253,3,458,1,"success","1"
"856",62,"retired","married","secondary","no",569,"no","no","cellular",4,"aug",288,1,1,8,"success","1"
"857",38,"blue-collar","married","primary","no",0,"yes","no","unknown",3,"jun",179,2,-1,0,"unknown","0"
"858",55,"technician","married","secondary","no",570,"no","no","cellular",27,"aug",94,6,-1,0,"unknown","0"
"859",41,"technician","married","secondary","no",225,"yes","yes","unknown",8,"may",63,2,-1,0,"unknown","0"
"860",45,"self-employed","married","secondary","no",7,"no","no","cellular",20,"nov",691,1,-1,0,"unknown","1"
"861",30,"management","single","tertiary","no",3384,"no","no","cellular",4,"jun",578,2,-1,0,"unknown","1"
"862",30,"admin.","married","tertiary","no",501,"yes","yes","cellular",25,"may",92,1,-1,0,"unknown","0"
"863",28,"blue-collar","single","secondary","no",1348,"yes","no","cellular",6,"aug",221,2,-1,0,"unknown","1"
"864",30,"admin.","married","secondary","no",1794,"no","no","cellular",20,"nov",1035,1,-1,0,"unknown","1"
"865",42,"management","married","tertiary","no",3841,"yes","no","cellular",25,"jul",720,2,-1,0,"unknown","0"
"866",43,"management","married","tertiary","no",68,"yes","no","cellular",17,"nov",31,2,-1,0,"unknown","0"
"867",33,"housemaid","married","primary","no",1713,"yes","no","unknown",8,"may",22,1,-1,0,"unknown","0"
"868",33,"management","married","tertiary","no",271,"yes","no","cellular",14,"aug",801,2,-1,0,"unknown","1"
"869",38,"blue-collar","married","primary","no",1597,"no","no","telephone",8,"may",15,1,-1,0,"unknown","0"
"870",57,"services","divorced","secondary","no",14,"no","yes","cellular",22,"jul",445,2,-1,0,"unknown","0"
"871",30,"technician","single","secondary","no",4787,"yes","no","unknown",4,"jun",99,2,-1,0,"unknown","0"
"872",37,"admin.","married","primary","no",188,"yes","no","cellular",17,"apr",153,1,-1,0,"unknown","0"
"873",32,"admin.","single","secondary","no",678,"yes","no","cellular",4,"feb",1579,1,246,4,"failure","1"
"874",28,"services","single","primary","no",198,"no","no","cellular",4,"feb",976,2,-1,0,"unknown","1"
"875",30,"admin.","married","tertiary","no",42,"yes","yes","cellular",16,"nov",75,1,-1,0,"unknown","0"
"876",55,"entrepreneur","married","secondary","no",814,"no","yes","cellular",28,"jul",69,12,-1,0,"unknown","0"
"877",47,"unknown","married","unknown","no",1880,"no","no","unknown",18,"jun",64,2,-1,0,"unknown","0"
"878",30,"management","single","tertiary","no",3773,"yes","no","cellular",9,"feb",75,4,258,1,"failure","0"
"879",28,"management","single","tertiary","no",2725,"no","no","cellular",16,"jun",292,1,504,1,"failure","1"
"880",30,"entrepreneur","single","secondary","no",491,"yes","no","unknown",9,"may",197,4,-1,0,"unknown","0"
"881",53,"self-employed","married","tertiary","no",20,"yes","no","cellular",7,"aug",218,2,-1,0,"unknown","0"
"882",29,"management","single","secondary","no",0,"yes","yes","unknown",27,"may",92,2,-1,0,"unknown","0"
"883",28,"admin.","single","secondary","no",2290,"yes","no","cellular",18,"may",2301,1,-1,0,"unknown","1"
"884",37,"management","married","tertiary","no",5205,"yes","no","unknown",23,"may",493,2,-1,0,"unknown","0"
"885",52,"technician","divorced","secondary","no",388,"yes","yes","unknown",27,"may",139,1,-1,0,"unknown","0"
"886",27,"technician","single","secondary","no",3933,"no","no","cellular",28,"jul",837,3,-1,0,"unknown","1"
"887",63,"technician","married","secondary","no",896,"yes","no","cellular",14,"aug",276,2,-1,0,"unknown","1"
"888",46,"management","married","secondary","no",149,"no","no","cellular",21,"nov",1222,2,-1,0,"unknown","1"
"889",61,"housemaid","married","tertiary","no",1389,"no","no","cellular",8,"oct",92,3,183,1,"failure","0"
"890",44,"entrepreneur","married","tertiary","no",624,"no","no","telephone",14,"aug",552,2,-1,0,"unknown","1"
"891",39,"management","single","tertiary","no",313,"no","yes","cellular",29,"jan",118,5,196,1,"other","0"
"892",47,"technician","married","secondary","no",1981,"yes","no","cellular",21,"jul",919,2,-1,0,"unknown","1"
"893",27,"student","married","secondary","no",119,"yes","no","cellular",16,"jul",781,2,-1,0,"unknown","1"
"894",49,"entrepreneur","married","tertiary","no",18904,"yes","no","unknown",2,"jun",113,3,-1,0,"unknown","0"
"895",60,"retired","married","secondary","yes",15,"no","no","unknown",6,"may",80,1,-1,0,"unknown","0"
"896",57,"technician","married","tertiary","no",2887,"yes","no","cellular",11,"feb",123,1,-1,0,"unknown","0"
"897",36,"blue-collar","single","primary","no",263,"yes","no","cellular",17,"apr",199,2,337,2,"failure","0"
"898",52,"self-employed","divorced","secondary","no",385,"no","yes","cellular",26,"aug",96,4,-1,0,"unknown","0"
"899",37,"management","married","tertiary","no",2401,"no","no","cellular",6,"aug",203,7,-1,0,"unknown","0"
"900",48,"admin.","divorced","secondary","no",771,"yes","no","unknown",2,"jun",133,1,-1,0,"unknown","0"
"901",35,"technician","single","tertiary","no",303,"no","no","cellular",13,"aug",713,2,-1,0,"unknown","0"
"902",41,"admin.","divorced","secondary","no",220,"yes","no","cellular",14,"aug",142,2,88,2,"failure","0"
"903",36,"management","single","tertiary","no",112,"yes","no","cellular",15,"jul",83,2,-1,0,"unknown","0"
"904",49,"admin.","married","secondary","no",2062,"no","no","unknown",30,"jun",132,4,-1,0,"unknown","0"
"905",27,"unknown","single","unknown","no",326,"no","no","cellular",22,"feb",326,1,-1,0,"unknown","1"
"906",50,"management","married","tertiary","no",469,"no","no","cellular",16,"apr",161,1,-1,0,"unknown","1"
"907",36,"technician","single","tertiary","no",391,"yes","no","cellular",15,"may",185,1,350,8,"failure","0"
"908",28,"technician","single","secondary","no",34,"yes","no","cellular",4,"feb",16,6,268,4,"failure","0"
"909",32,"management","married","tertiary","no",1337,"no","no","cellular",13,"aug",283,2,-1,0,"unknown","0"
"910",61,"retired","married","secondary","no",280,"yes","no","unknown",15,"may",88,3,-1,0,"unknown","0"
"911",33,"technician","divorced","tertiary","no",2558,"no","no","cellular",7,"may",680,2,367,2,"failure","0"
"912",42,"management","married","tertiary","no",-556,"yes","yes","cellular",8,"may",682,3,347,3,"failure","1"
"913",34,"management","single","secondary","no",0,"no","no","cellular",22,"aug",132,4,-1,0,"unknown","0"
"914",45,"admin.","divorced","secondary","no",-176,"no","yes","cellular",7,"jul",574,1,-1,0,"unknown","1"
"915",30,"technician","married","secondary","no",2326,"no","no","cellular",14,"dec",420,1,175,2,"failure","1"
"916",60,"retired","divorced","secondary","no",496,"yes","no","cellular",15,"may",655,2,-1,0,"unknown","1"
"917",35,"admin.","single","secondary","no",0,"yes","no","cellular",13,"may",1073,1,-1,0,"unknown","1"
"918",42,"management","single","tertiary","no",7560,"no","no","cellular",28,"jan",132,1,-1,0,"unknown","1"
"919",42,"admin.","single","unknown","no",22,"no","no","unknown",19,"jun",246,3,-1,0,"unknown","0"
"920",46,"blue-collar","married","secondary","no",1120,"no","yes","unknown",19,"jun",786,1,-1,0,"unknown","0"
"921",51,"management","married","tertiary","no",0,"yes","no","unknown",16,"may",59,5,-1,0,"unknown","0"
"922",29,"management","married","tertiary","no",10576,"no","no","unknown",15,"may",1224,2,-1,0,"unknown","1"
"923",38,"technician","divorced","tertiary","no",348,"no","no","unknown",20,"jun",446,1,-1,0,"unknown","0"
"924",35,"technician","single","secondary","no",5059,"no","yes","cellular",7,"aug",115,2,-1,0,"unknown","0"
"925",60,"management","married","primary","no",0,"no","no","unknown",17,"jun",442,1,-1,0,"unknown","0"
"926",55,"retired","married","tertiary","no",357,"yes","no","cellular",30,"apr",878,1,-1,0,"unknown","0"
"927",69,"retired","married","secondary","no",0,"no","no","cellular",25,"aug",412,2,-1,0,"unknown","1"
"928",36,"entrepreneur","married","tertiary","no",0,"no","no","unknown",2,"jun",87,3,-1,0,"unknown","0"
"929",40,"blue-collar","married","primary","no",968,"yes","yes","unknown",8,"may",213,1,-1,0,"unknown","0"
"930",60,"self-employed","married","primary","no",362,"no","yes","cellular",28,"jan",326,1,183,6,"success","0"
"931",43,"blue-collar","married","unknown","no",91,"yes","no","unknown",16,"may",37,1,-1,0,"unknown","0"
"932",35,"housemaid","single","secondary","no",1015,"yes","no","unknown",5,"jun",406,2,-1,0,"unknown","1"
"933",36,"management","married","tertiary","no",860,"yes","no","unknown",20,"may",294,15,-1,0,"unknown","0"
"934",57,"management","divorced","tertiary","no",3287,"no","no","cellular",22,"jun",867,1,84,3,"success","1"
"935",34,"blue-collar","married","secondary","no",2495,"yes","no","unknown",23,"may",924,1,-1,0,"unknown","1"
"936",40,"technician","married","secondary","no",56,"no","no","cellular",29,"aug",77,2,-1,0,"unknown","0"
"937",35,"management","single","tertiary","no",2988,"yes","no","cellular",25,"may",179,1,-1,0,"unknown","0"
"938",39,"unemployed","divorced","secondary","no",507,"yes","no","unknown",12,"may",150,7,-1,0,"unknown","0"
"939",41,"technician","married","tertiary","no",816,"yes","yes","cellular",13,"apr",520,2,319,1,"failure","0"
"940",37,"management","married","tertiary","no",1113,"no","no","cellular",2,"mar",229,1,182,1,"success","1"
"941",32,"technician","single","secondary","no",1210,"yes","yes","cellular",7,"may",107,1,344,4,"failure","0"
"942",31,"management","divorced","tertiary","no",1145,"yes","no","unknown",26,"may",1272,4,-1,0,"unknown","1"
"943",29,"admin.","single","secondary","no",305,"yes","no","cellular",6,"may",138,2,-1,0,"unknown","0"
"944",59,"admin.","married","secondary","no",2552,"no","yes","cellular",5,"aug",125,3,-1,0,"unknown","0"
